Market Name,Price Date,Min_Price,Max_Price,Modal_Price,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,precipitation_hours,weather_code,Modal_Price_Lag1,Modal_Price_Lag2,Modal_Price_Lag3,Modal_Price_Lag4,temperature_2m_mean_Lag1,temperature_2m_mean_Lag2,temperature_2m_mean_Lag3,temperature_2m_mean_Lag4,temperature_2m_max_Lag1,temperature_2m_max_Lag2,temperature_2m_max_Lag3,temperature_2m_max_Lag4,temperature_2m_min_Lag1,temperature_2m_min_Lag2,temperature_2m_min_Lag3,temperature_2m_min_Lag4,wind_speed_10m_max_Lag1,wind_speed_10m_max_Lag2,wind_speed_10m_max_Lag3,wind_speed_10m_max_Lag4,precipitation_sum_Lag1,precipitation_sum_Lag2,precipitation_sum_Lag3,precipitation_sum_Lag4,precipitation_hours_Lag1,precipitation_hours_Lag2,precipitation_hours_Lag3,precipitation_hours_Lag4,weather_code_Lag1,weather_code_Lag2,weather_code_Lag3,weather_code_Lag4
junnar,09-07-2023,1100,2200,1850,27.3815,33.2565,25.0065,14.6287605,27.000001,21,51,1800,1300,1350,1000,28.383581,29.784624,35.488792,36.19296,33.0565,38.5565,40.6565,44.2065,24.9065,24.9065,30.0065,29.5065,18.834894,18.727268,20.4887145,20.1297655,1.9999999,11.5,0,0.3,11,24,0,1,51,61,3,3
junnar(alephata),09-07-2023,1033.333333,2070,1716.666667,27.25024733,34.2065,24.1565,16.95110933,79.200001,50,63,1533.333333,1000,1166.666667,1100,27.75024833,29.96761067,34.96274833,35.703722,33.0565,40.6565,41.4565,42.1065,24.7565,24.9065,30.0065,28.706501,21.930639,15.118184,20.21231533,17.88145567,54.8,20.000001,1.8,0.3,32,33,5,1,51,3,3,3
junnar(narayangaon),09-07-2023,480,1630,1160,27.6956658,34.0565,24.1565,15.8746288,108.400007,63,51,1050,800,820,675,28.2945205,30.153026,35.3810826,35.9127515,33.1065,40.6065,41.3065,44.2065,24.706501,24.956501,30.0065,29.5065,21.514801,15.692973,22.5332286,22.094385,38.9,20.800001,0,0.8,35,24,0,2,51,63,3,3
junnar(otur),09-07-2023,650,2005,1425,27.3815,33.2565,25.0065,14.6287605,27.000001,21,51,1450,1150,1250,1200,27.683581,29.784624,35.488792,35.93359,33.0565,38.5565,40.6565,41.0065,25.0565,24.9065,30.0065,31.1565,19.971693,18.727268,20.4887145,16.595179,6.299999,11.5,0,0.3,20,24,0,1,51,61,3,51
kalvan,09-07-2023,240,1894,1052.4,28.7460842,34.2065,24.1565,13.6950774,58.3999998,51,51,1000,803.25,760.8,800.75,26.7148335,34.1091025,35.1173322,35.5653525,32.2565,40.6565,41.4565,44.2065,24.706501,25.7565,30.0065,28.1065,22.62249775,22.07976625,22.785989,19.99233325,98.099999,3.8,1.8,0,69,12,5,0,63,3,3,3
kamthi,09-07-2023,1200,1720,1460,28.1810826,34.2065,24.1565,14.5561972,83.0000008,58,63,1200,1440,1400,1400,27.411361,31.4760822,35.41205467,35.732892,32.2565,40.6565,41.4565,41.0065,24.7565,24.9065,30.0565,29.8065,21.82169233,17.9543908,24.62823067,21.57106267,56.1999999,22.800001,0,0.8,37,39,0,2,51,3,3,3
karad,09-07-2023,750,1733.333333,1733.333333,28.36761117,34.2065,24.5065,13.65378133,97.3000068,64,51,1500,1400,1383.333333,1375,27.5764998,32.10163733,35.26518017,35.494524,33.1065,40.6565,41.4565,42.1065,24.706501,24.9065,30.0065,28.1065,21.5067042,19.05894017,22.22075217,20.52787875,94.0999999,22,1.8,0.8,62,39,5,2,51,3,3,3
khed(chakan),09-07-2023,900,1750,1350,28.498688,34.2065,24.5065,13.2598895,71.2000058,49,51,1200,1000,1000,975,27.84955517,31.0989996,35.4089992,35.65754267,33.1065,40.6565,41.4565,44.2065,24.7565,24.956501,30.0065,28.1065,21.2871095,19.1910776,21.704065,20.87153233,62.9999989,24.600001,1.8,0.8,61,36,5,2,51,63,3,3
kolhapur,09-07-2023,533.3333333,1816.666667,1166.666667,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,980,983.3333333,983.3333333,980,27.271084,31.86587383,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.560837,19.27944767,22.6561845,21.726803,98.599999,24.600001,1.8,0.5,73,36,5,1,51,3,3,3
kopargaon,09-07-2023,340,1656.8,1325,28.0956664,34.2065,24.1565,14.7427428,105.2000058,70,65,1187.5,756,758,756.25,27.58254225,31.0989996,35.4089992,35.58723,33.1065,40.6565,41.4565,44.2065,24.7565,24.956501,30.0065,28.1065,22.51321725,19.1910776,21.704065,22.7595385,60.999999,24.600001,1.8,0.5,50,36,5,1,51,63,3,3
